,states,year,quarter,brand,user_counts,percentage
0,andaman-&-nicobar-islands,2018,1,Xiaomi,1665,0.24703264094955402
1,andaman-&-nicobar-islands,2018,1,Samsung,1445,0.21439169139465802
2,andaman-&-nicobar-islands,2018,1,Vivo,982,0.145697329376854
3,andaman-&-nicobar-islands,2018,1,Oppo,501,0.07433234421364901
4,andaman-&-nicobar-islands,2018,1,OnePlus,332,0.049258160237388
5,andaman-&-nicobar-islands,2018,1,Realme,316,0.046884272997032
6,andaman-&-nicobar-islands,2018,1,Apple,229,0.033976261127596004
7,andaman-&-nicobar-islands,2018,1,Motorola,226,0.033531157270029005
8,andaman-&-nicobar-islands,2018,1,Lenovo,202,0.029970326409495002
9,andaman-&-nicobar-islands,2018,1,Huawei,158,0.023442136498516
10,andaman-&-nicobar-islands,2018,1,Others,684,0.10148367952522201
11,andaman-&-nicobar-islands,2018,2,Xiaomi,2303,0.24486975013290802
12,andaman-&-nicobar-islands,2018,2,Samsung,1923,0.20446570972886702
13,andaman-&-nicobar-islands,2018,2,Vivo,1523,0.16193514088250902
14,andaman-&-nicobar-islands,2018,2,Oppo,708,0.075279106858054
15,andaman-&-nicobar-islands,2018,2,OnePlus,466,0.049548112706007
16,andaman-&-nicobar-islands,2018,2,Realme,465,0.049441786283891
17,andaman-&-nicobar-islands,2018,2,Motorola,319,0.03391812865497
18,andaman-&-nicobar-islands,2018,2,Apple,308,0.032748538011695
19,andaman-&-nicobar-islands,2018,2,Lenovo,244,0.025943646996278002
20,andaman-&-nicobar-islands,2018,2,Huawei,230,0.024455077086656
21,andaman-&-nicobar-islands,2018,2,Others,916,0.09739500265816001
22,andaman-&-nicobar-islands,2018,3,Xiaomi,2950,0.24281833895793803
23,andaman-&-nicobar-islands,2018,3,Samsung,2409,0.19828792493209302
24,andaman-&-nicobar-islands,2018,3,Vivo,2063,0.16980821466787302
25,andaman-&-nicobar-islands,2018,3,Oppo,988,0.081323565725574
26,andaman-&-nicobar-islands,2018,3,OnePlus,617,0.050786072927812
27,andaman-&-nicobar-islands,2018,3,Realme,603,0.049633714709029005
28,andaman-&-nicobar-islands,2018,3,Motorola,390,0.032101407523252
29,andaman-&-nicobar-islands,2018,3,Apple,371,0.030537492797761003
30,andaman-&-nicobar-islands,2018,3,Huawei,314,0.025845748621285
31,andaman-&-nicobar-islands,2018,3,Lenovo,299,0.02461107910116
32,andaman-&-nicobar-islands,2018,3,Others,1145,0.094246440036216
33,andaman-&-nicobar-islands,2018,4,Xiaomi,3719,0.244317435291026
34,andaman-&-nicobar-islands,2018,4,Samsung,2936,0.19287872815661503
35,andaman-&-nicobar-islands,2018,4,Vivo,2742,0.180134016554986
36,andaman-&-nicobar-islands,2018,4,Oppo,1268,0.08330048613848301
37,andaman-&-nicobar-islands,2018,4,Realme,760,0.049927736171330006
38,andaman-&-nicobar-islands,2018,4,OnePlus,721,0.047365654973065004
39,andaman-&-nicobar-islands,2018,4,Motorola,474,0.031139140717382004
40,andaman-&-nicobar-islands,2018,4,Apple,455,0.029890947313099003
41,andaman-&-nicobar-islands,2018,4,Huawei,398,0.026146367100249004
42,andaman-&-nicobar-islands,2018,4,Lenovo,377,0.024766784916568002
43,andaman-&-nicobar-islands,2018,4,Others,1372,0.090132702667192
44,andaman-&-nicobar-islands,2019,1,Xiaomi,4576,0.24607442460744203
45,andaman-&-nicobar-islands,2019,1,Samsung,3567,0.191815444181544
46,andaman-&-nicobar-islands,2019,1,Vivo,3420,0.18391051839105102
47,andaman-&-nicobar-islands,2019,1,Oppo,1600,0.086040008604
48,andaman-&-nicobar-islands,2019,1,Realme,897,0.048236179823617005
49,andaman-&-nicobar-islands,2019,1,OnePlus,855,0.045977629597762006
50,andaman-&-nicobar-islands,2019,1,Motorola,561,0.030167778016777003
51,andaman-&-nicobar-islands,2019,1,Apple,515,0.027694127769412002
52,andaman-&-nicobar-islands,2019,1,Huawei,515,0.027694127769412002
53,andaman-&-nicobar-islands,2019,1,Lenovo,426,0.022908152290815
54,andaman-&-nicobar-islands,2019,1,Others,1664,0.08948160894816001
55,andaman-&-nicobar-islands,2019,2,Xiaomi,5296,0.24370714647278002
56,andaman-&-nicobar-islands,2019,2,Samsung,4165,0.19166168146886903
57,andaman-&-nicobar-islands,2019,2,Vivo,4102,0.18876259721135702
58,andaman-&-nicobar-islands,2019,2,Oppo,1905,0.087662785881919
59,andaman-&-nicobar-islands,2019,2,Realme,1012,0.04656941696194301
60,andaman-&-nicobar-islands,2019,2,OnePlus,950,0.043716349914868
61,andaman-&-nicobar-islands,2019,2,Huawei,644,0.029635083521236002
62,andaman-&-nicobar-islands,2019,2,Motorola,630,0.028990842575123
63,andaman-&-nicobar-islands,2019,2,Apple,569,0.026183792738484
64,andaman-&-nicobar-islands,2019,2,Lenovo,477,0.021950209378307002
65,andaman-&-nicobar-islands,2019,2,Others,1981,0.09116009387510901
66,andaman-&-nicobar-islands,2019,3,Xiaomi,5819,0.24315741088964102
67,andaman-&-nicobar-islands,2019,3,Vivo,4685,0.19577117546278802
68,andaman-&-nicobar-islands,2019,3,Samsung,4508,0.188374911203042
69,andaman-&-nicobar-islands,2019,3,Oppo,2108,0.088086582257323
70,andaman-&-nicobar-islands,2019,3,Realme,1158,0.04838911871630901
71,andaman-&-nicobar-islands,2019,3,OnePlus,1045,0.043667209895115
72,andaman-&-nicobar-islands,2019,3,Huawei,725,0.030295432702352004
73,andaman-&-nicobar-islands,2019,3,Motorola,660,0.027579290460072
74,andaman-&-nicobar-islands,2019,3,Apple,630,0.026325686348251002
75,andaman-&-nicobar-islands,2019,3,Lenovo,483,0.020183026200325003
76,andaman-&-nicobar-islands,2019,3,Others,2110,0.088170155864777
77,andaman-&-nicobar-islands,2019,4,Xiaomi,6259,0.24110169491525402
78,andaman-&-nicobar-islands,2019,4,Vivo,5190,0.19992295839753402
79,andaman-&-nicobar-islands,2019,4,Samsung,4900,0.18875192604006102
80,andaman-&-nicobar-islands,2019,4,Oppo,2329,0.089714946070878
81,andaman-&-nicobar-islands,2019,4,Realme,1329,0.051194144838212004
82,andaman-&-nicobar-islands,2019,4,OnePlus,1124,0.043297380585516
83,andaman-&-nicobar-islands,2019,4,Huawei,798,0.030739599383667004
84,andaman-&-nicobar-islands,2019,4,Motorola,682,0.026271186440677004
85,andaman-&-nicobar-islands,2019,4,Apple,678,0.026117103235747
86,andaman-&-nicobar-islands,2019,4,Lenovo,488,0.01879815100154
87,andaman-&-nicobar-islands,2019,4,Others,2183,0.08409090909090901
88,andaman-&-nicobar-islands,2020,1,Xiaomi,6803,0.23981246474901202
89,andaman-&-nicobar-islands,2020,1,Vivo,5880,0.207275803722504
90,andaman-&-nicobar-islands,2020,1,Samsung,5335,0.188064015792442
91,andaman-&-nicobar-islands,2020,1,Oppo,2557,0.090136773829667
92,andaman-&-nicobar-islands,2020,1,Realme,1511,0.053264241398759
93,andaman-&-nicobar-islands,2020,1,OnePlus,1184,0.041737168640721
94,andaman-&-nicobar-islands,2020,1,Huawei,891,0.031408629441624
95,andaman-&-nicobar-islands,2020,1,Apple,735,0.025909475465313
96,andaman-&-nicobar-islands,2020,1,Motorola,715,0.025204455724760003
97,andaman-&-nicobar-islands,2020,1,Lenovo,500,0.017625493513818
98,andaman-&-nicobar-islands,2020,1,Others,2257,0.079561477721376
99,andaman-&-nicobar-islands,2020,2,Xiaomi,7805,0.23861204524610202
100,andaman-&-nicobar-islands,2020,2,Vivo,7122,0.21773158055640401
101,andaman-&-nicobar-islands,2020,2,Samsung,6030,0.18434729440538
102,andaman-&-nicobar-islands,2020,2,Oppo,2976,0.090981351268725
103,andaman-&-nicobar-islands,2020,2,Realme,1761,0.053836747172118005
104,andaman-&-nicobar-islands,2020,2,OnePlus,1271,0.038856618771018
105,andaman-&-nicobar-islands,2020,2,Huawei,1005,0.030724549067563004
106,andaman-&-nicobar-islands,2020,2,Apple,792,0.024212778966676
107,andaman-&-nicobar-islands,2020,2,Motorola,779,0.023815346988688
108,andaman-&-nicobar-islands,2020,2,Lenovo,552,0.016875573219199
109,andaman-&-nicobar-islands,2020,2,Others,2617,0.080006114338122
110,andaman-&-nicobar-islands,2020,3,Xiaomi,9794,0.23694205878795202
111,andaman-&-nicobar-islands,2020,3,Vivo,9556,0.23118422644248202
112,andaman-&-nicobar-islands,2020,3,Samsung,7572,0.18318616184831202
113,andaman-&-nicobar-islands,2020,3,Oppo,3730,0.090238296842869
114,andaman-&-nicobar-islands,2020,3,Realme,2285,0.055280029031087
115,andaman-&-nicobar-islands,2020,3,OnePlus,1440,0.034837304947381
116,andaman-&-nicobar-islands,2020,3,Huawei,1213,0.029345590903592
117,andaman-&-nicobar-islands,2020,3,Motorola,907,0.021942663602274003
118,andaman-&-nicobar-islands,2020,3,Apple,870,0.021047538405709002
119,andaman-&-nicobar-islands,2020,3,Lenovo,606,0.014660699165356
120,andaman-&-nicobar-islands,2020,3,Others,3362,0.081335430022982
121,andaman-&-nicobar-islands,2020,4,Xiaomi,12398,0.23662111611573403
122,andaman-&-nicobar-islands,2020,4,Vivo,12275,0.234273608672417
123,andaman-&-nicobar-islands,2020,4,Samsung,9938,0.18967096724940802
124,andaman-&-nicobar-islands,2020,4,Oppo,4723,0.09014046873807101
125,andaman-&-nicobar-islands,2020,4,Realme,2996,0.057179937399801005
126,andaman-&-nicobar-islands,2020,4,OnePlus,1638,0.03126192839148
127,andaman-&-nicobar-islands,2020,4,Huawei,1472,0.028093747614321003
128,andaman-&-nicobar-islands,2020,4,Motorola,1032,0.019696160012214
129,andaman-&-nicobar-islands,2020,4,Apple,973,0.018570119856477
130,andaman-&-nicobar-islands,2020,4,Lenovo,708,0.013512481868844002
131,andaman-&-nicobar-islands,2020,4,Others,4243,0.08097946408122701
132,andaman-&-nicobar-islands,2021,1,Vivo,13812,0.23913570414488003
133,andaman-&-nicobar-islands,2021,1,Xiaomi,13714,0.237438969493403
134,andaman-&-nicobar-islands,2021,1,Samsung,10861,0.18804321479275501
135,andaman-&-nicobar-islands,2021,1,Oppo,5158,0.08930364624813801
136,andaman-&-nicobar-islands,2021,1,Realme,3419,0.059195262993870006
137,andaman-&-nicobar-islands,2021,1,OnePlus,1773,0.030697046296616
138,andaman-&-nicobar-islands,2021,1,Huawei,1575,0.027268949755877
139,andaman-&-nicobar-islands,2021,1,Motorola,1062,0.018387063263963003
140,andaman-&-nicobar-islands,2021,1,Apple,1056,0.018283181550607
141,andaman-&-nicobar-islands,2021,1,Tecno,796,0.013781640638526
142,andaman-&-nicobar-islands,2021,1,Others,4532,0.078465320821358
143,andaman-&-nicobar-islands,2021,2,Vivo,15056,0.24246718737418402
144,andaman-&-nicobar-islands,2021,2,Xiaomi,14788,0.23815121990498403
145,andaman-&-nicobar-islands,2021,2,Samsung,11476,0.184813592076656
146,andaman-&-nicobar-islands,2021,2,Oppo,5456,0.08786536758193
147,andaman-&-nicobar-islands,2021,2,Realme,4034,0.064964973025203
148,andaman-&-nicobar-islands,2021,2,OnePlus,1981,0.031902729688380004
149,andaman-&-nicobar-islands,2021,2,Huawei,1559,0.025106691360012003
150,andaman-&-nicobar-islands,2021,2,Apple,1153,0.018568322731298003
151,andaman-&-nicobar-islands,2021,2,Motorola,1054,0.016973991464691
152,andaman-&-nicobar-islands,2021,2,Tecno,974,0.015685642966422
153,andaman-&-nicobar-islands,2021,2,Others,4564,0.07350028182623401
154,andaman-&-nicobar-islands,2021,3,Vivo,16411,0.245006121047445
155,andaman-&-nicobar-islands,2021,3,Xiaomi,15938,0.23794452240900502
156,andaman-&-nicobar-islands,2021,3,Samsung,12028,0.17957063091576803
157,andaman-&-nicobar-islands,2021,3,Oppo,5853,0.087381684631692
158,andaman-&-nicobar-islands,2021,3,Realme,4808,0.07178047833746301
159,andaman-&-nicobar-islands,2021,3,OnePlus,2306,0.034427159535397
160,andaman-&-nicobar-islands,2021,3,Huawei,1567,0.023394344749335
161,andaman-&-nicobar-islands,2021,3,Apple,1283,0.019154399689468003
162,andaman-&-nicobar-islands,2021,3,Tecno,1178,0.017586814368039
163,andaman-&-nicobar-islands,2021,3,Motorola,1017,0.015183183541847
164,andaman-&-nicobar-islands,2021,3,Others,4593,0.06857066077453601
165,andaman-&-nicobar-islands,2021,4,Vivo,17597,0.24515185288381103
166,andaman-&-nicobar-islands,2021,4,Xiaomi,16968,0.23638896628587303
167,andaman-&-nicobar-islands,2021,4,Samsung,12574,0.17517414321538002
168,andaman-&-nicobar-islands,2021,4,Oppo,6127,0.085358038450821
169,andaman-&-nicobar-islands,2021,4,Realme,5830,0.081220395653385
170,andaman-&-nicobar-islands,2021,4,OnePlus,2691,0.037489551407077
171,andaman-&-nicobar-islands,2021,4,Apple,1490,0.020757871273335
172,andaman-&-nicobar-islands,2021,4,Huawei,1459,0.020325996099191
173,andaman-&-nicobar-islands,2021,4,Tecno,1417,0.019740874895514002
174,andaman-&-nicobar-islands,2021,4,Motorola,1055,0.014697687378099001
175,andaman-&-nicobar-islands,2021,4,Others,4572,0.06369462245750901
176,andaman-&-nicobar-islands,2022,1,Vivo,18688,0.24496644295302003
177,andaman-&-nicobar-islands,2022,1,Xiaomi,17957,0.23538433305369102
178,andaman-&-nicobar-islands,2022,1,Samsung,12955,0.16981700922818702
179,andaman-&-nicobar-islands,2022,1,Realme,6769,0.088729551174496
180,andaman-&-nicobar-islands,2022,1,Oppo,6461,0.084692218959731
181,andaman-&-nicobar-islands,2022,1,OnePlus,3005,0.039390205536912005
182,andaman-&-nicobar-islands,2022,1,Tecno,1770,0.023201552013422003
183,andaman-&-nicobar-islands,2022,1,Apple,1634,0.021418833892617003
184,andaman-&-nicobar-islands,2022,1,Huawei,1441,0.018888947147651002
185,andaman-&-nicobar-islands,2022,1,Motorola,1050,0.013763632550335001
186,andaman-&-nicobar-islands,2022,1,Others,4558,0.059747273489932
187,andhra-pradesh,2018,1,Xiaomi,836581,0.250739858232552
188,andhra-pradesh,2018,1,Samsung,683687,0.20491450493788302
189,andhra-pradesh,2018,1,Vivo,425959,0.127668330111345
190,andhra-pradesh,2018,1,Oppo,304487,0.091260771178947
191,andhra-pradesh,2018,1,Realme,236646,0.07092748280357801
192,andhra-pradesh,2018,1,Motorola,129739,0.038885342205038004
193,andhra-pradesh,2018,1,OnePlus,129421,0.038790031320715006
194,andhra-pradesh,2018,1,Apple,123274,0.036947653943562
195,andhra-pradesh,2018,1,Lenovo,84138,0.025217821337049
196,andhra-pradesh,2018,1,Huawei,76654,0.022974718638073002
197,andhra-pradesh,2018,1,Others,305864,0.09167348529125201
198,andhra-pradesh,2018,2,Xiaomi,1113800,0.252990319224811
199,andhra-pradesh,2018,2,Samsung,903290,0.20517474003643302
200,andhra-pradesh,2018,2,Vivo,586965,0.13332417195528
201,andhra-pradesh,2018,2,Oppo,410549,0.093252758634788
202,andhra-pradesh,2018,2,Realme,305964,0.069497153915694
203,andhra-pradesh,2018,2,Motorola,169847,0.038579320119749
204,andhra-pradesh,2018,2,OnePlus,155418,0.035301893906699
205,andhra-pradesh,2018,2,Apple,151847,0.034490771236604004
206,andhra-pradesh,2018,2,Lenovo,107441,0.024404321141886003
207,andhra-pradesh,2018,2,Huawei,102929,0.023379458221844
208,andhra-pradesh,2018,2,Others,394490,0.08960509160620901
209,andhra-pradesh,2018,3,Xiaomi,1385112,0.25519707820209103
210,andhra-pradesh,2018,3,Samsung,1103186,0.20325420898342603
211,andhra-pradesh,2018,3,Vivo,761793,0.140354966092854
212,andhra-pradesh,2018,3,Oppo,518120,0.09545994125967201
213,andhra-pradesh,2018,3,Realme,379712,0.069959247308717
214,andhra-pradesh,2018,3,Motorola,203756,0.037540600230266
215,andhra-pradesh,2018,3,OnePlus,181364,0.033415032785106005
216,andhra-pradesh,2018,3,Apple,175343,0.032305706169024
217,andhra-pradesh,2018,3,Huawei,134429,0.024767591375736003
218,andhra-pradesh,2018,3,Lenovo,122489,0.022567730921323
219,andhra-pradesh,2018,3,Others,462313,0.08517789667178001
220,andhra-pradesh,2018,4,Xiaomi,1753802,0.25575286525858304
221,andhra-pradesh,2018,4,Samsung,1388061,0.20241770616277902
222,andhra-pradesh,2018,4,Vivo,1011185,0.147458755923702
223,andhra-pradesh,2018,4,Oppo,675093,0.09844724151643801
224,andhra-pradesh,2018,4,Realme,476746,0.069522759981211
225,andhra-pradesh,2018,4,Motorola,250601,0.036544560780901
226,andhra-pradesh,2018,4,OnePlus,210161,0.030647289668736002
227,andhra-pradesh,2018,4,Apple,209737,0.030585458735216002
228,andhra-pradesh,2018,4,Huawei,176237,0.025700231676424
229,andhra-pradesh,2018,4,Lenovo,149583,0.021813340869707
230,andhra-pradesh,2018,4,Others,556203,0.08110978942629701
231,andhra-pradesh,2019,1,Xiaomi,2110547,0.25480407566371605
232,andhra-pradesh,2019,1,Samsung,1688342,0.20383171884550702
233,andhra-pradesh,2019,1,Vivo,1262871,0.152465061350215
234,andhra-pradesh,2019,1,Oppo,835541,0.10087396877877401
235,andhra-pradesh,2019,1,Realme,564832,0.068191561555032
236,andhra-pradesh,2019,1,Motorola,291830,0.035232322900623
237,andhra-pradesh,2019,1,Apple,241108,0.029108710242002
238,andhra-pradesh,2019,1,OnePlus,237269,0.028645231889483
239,andhra-pradesh,2019,1,Huawei,220082,0.02657026381323
240,andhra-pradesh,2019,1,Lenovo,171471,0.020701509920477
241,andhra-pradesh,2019,1,Others,659126,0.079575575040936
242,andhra-pradesh,2019,2,Xiaomi,2389374,0.25448644547243104
243,andhra-pradesh,2019,2,Samsung,1914378,0.203895770402885
244,andhra-pradesh,2019,2,Vivo,1466695,0.156214136900371
245,andhra-pradesh,2019,2,Oppo,963352,0.102604291424765
246,andhra-pradesh,2019,2,Realme,641519,0.06832663702418601
247,andhra-pradesh,2019,2,Motorola,324778,0.034591319227398006
248,andhra-pradesh,2019,2,Apple,264860,0.028209597973288
249,andhra-pradesh,2019,2,OnePlus,254273,0.027082002210458003
250,andhra-pradesh,2019,2,Huawei,250859,0.026718385328026003
251,andhra-pradesh,2019,2,Lenovo,189151,0.020146015503456002
252,andhra-pradesh,2019,2,Others,729764,0.07772539853273
253,andhra-pradesh,2019,3,Xiaomi,2656468,0.25399617332682
254,andhra-pradesh,2019,3,Samsung,2123659,0.203052044839637
255,andhra-pradesh,2019,3,Vivo,1674109,0.16006866249922402
256,andhra-pradesh,2019,3,Oppo,1087660,0.103995786089141
257,andhra-pradesh,2019,3,Realme,727964,0.069603725819277
258,andhra-pradesh,2019,3,Motorola,348910,0.033360765059266
259,andhra-pradesh,2019,3,Apple,286412,0.027385066183700003
260,andhra-pradesh,2019,3,Huawei,282587,0.027019341709332
261,andhra-pradesh,2019,3,OnePlus,271100,0.025921020915328
262,andhra-pradesh,2019,3,Lenovo,194180,0.018566373446471003
263,andhra-pradesh,2019,3,Others,805644,0.07703104011179901
264,andhra-pradesh,2019,4,Xiaomi,2985953,0.25395328393725203
265,andhra-pradesh,2019,4,Samsung,2379139,0.20234416348589201
266,andhra-pradesh,2019,4,Vivo,1922141,0.16347679254845401
267,andhra-pradesh,2019,4,Oppo,1241235,0.10556619758846
268,andhra-pradesh,2019,4,Realme,844668,0.07183844234544601
269,andhra-pradesh,2019,4,Motorola,381692,0.032462646549553005
270,andhra-pradesh,2019,4,Huawei,317290,0.026985299989802
271,andhra-pradesh,2019,4,Apple,308354,0.026225299231162003
272,andhra-pradesh,2019,4,OnePlus,286412,0.024359146965486002
273,andhra-pradesh,2019,4,Lenovo,208785,0.017757023096759
274,andhra-pradesh,2019,4,Others,882214,0.075031704261728
275,andhra-pradesh,2020,1,Xiaomi,3307542,0.25399529721104
276,andhra-pradesh,2020,1,Samsung,2622762,0.20140914724705603
277,andhra-pradesh,2020,1,Vivo,2165012,0.16625725883615902
278,andhra-pradesh,2020,1,Oppo,1387060,0.106516173324343
279,andhra-pradesh,2020,1,Realme,960418,0.07375315426284301
280,andhra-pradesh,2020,1,Motorola,411062,0.031566587774898
281,andhra-pradesh,2020,1,Huawei,348324,0.026748763252511003
282,andhra-pradesh,2020,1,Apple,329329,0.025290084671703003
283,andhra-pradesh,2020,1,OnePlus,298911,0.022954202330506
284,andhra-pradesh,2020,1,Lenovo,227154,0.01744378385601
285,andhra-pradesh,2020,1,Others,964486,0.07406554723292601
286,andhra-pradesh,2020,2,Xiaomi,3635594,0.253888024693297
287,andhra-pradesh,2020,2,Samsung,2888149,0.201690960164947
288,andhra-pradesh,2020,2,Vivo,2409399,0.16825793881495202
289,andhra-pradesh,2020,2,Oppo,1535129,0.107204178865791
290,andhra-pradesh,2020,2,Realme,1072165,0.07487355683700901
291,andhra-pradesh,2020,2,Motorola,445380,0.031102661198665
292,andhra-pradesh,2020,2,Huawei,379220,0.026482444608554003
293,andhra-pradesh,2020,2,Apple,348938,0.024367731809555003
294,andhra-pradesh,2020,2,OnePlus,309208,0.021593227499925
295,andhra-pradesh,2020,2,Lenovo,243288,0.016989771066731
296,andhra-pradesh,2020,2,Others,1053205,0.073549504440568
297,andhra-pradesh,2020,3,Xiaomi,3978789,0.25354870716120304
298,andhra-pradesh,2020,3,Samsung,3154020,0.20099022425179502
299,andhra-pradesh,2020,3,Vivo,2687996,0.17129280056180002
300,andhra-pradesh,2020,3,Oppo,1695723,0.10806010933314501
301,andhra-pradesh,2020,3,Realme,1207622,0.07695582671999601
302,andhra-pradesh,2020,3,Motorola,477313,0.030416816287879
303,andhra-pradesh,2020,3,Huawei,408520,0.026032975824929003
304,andhra-pradesh,2020,3,Apple,370327,0.023599123270142002
305,andhra-pradesh,2020,3,OnePlus,322028,0.020521264904901002
306,andhra-pradesh,2020,3,Lenovo,260912,0.016626641996558
307,andhra-pradesh,2020,3,Others,1129155,0.07195550968764801
308,andhra-pradesh,2020,4,Xiaomi,4325662,0.253309843050988
309,andhra-pradesh,2020,4,Samsung,3419866,0.200266622707786
310,andhra-pradesh,2020,4,Vivo,2950572,0.17278486627726303
311,andhra-pradesh,2020,4,Oppo,1856052,0.10869000879275101
312,andhra-pradesh,2020,4,Realme,1361491,0.079728622237551
313,andhra-pradesh,2020,4,Motorola,506158,0.029640504398864002
314,andhra-pradesh,2020,4,Huawei,437125,0.025597946659647004
315,andhra-pradesh,2020,4,Apple,394191,0.023083740787447002
316,andhra-pradesh,2020,4,OnePlus,336518,0.019706422222502
317,andhra-pradesh,2020,4,Lenovo,276671,0.016201794681775
318,andhra-pradesh,2020,4,Others,1212259,0.070989628183419
319,andhra-pradesh,2021,1,Xiaomi,4644641,0.252924664064762
320,andhra-pradesh,2021,1,Samsung,3635596,0.19797695817075903
321,andhra-pradesh,2021,1,Vivo,3245151,0.17671521362241502
322,andhra-pradesh,2021,1,Oppo,2010506,0.10948242386229401
323,andhra-pradesh,2021,1,Realme,1531645,0.083405971977484
324,andhra-pradesh,2021,1,Motorola,518115,0.028214034695451
325,andhra-pradesh,2021,1,Huawei,455604,0.024809988252388
