,states,year,quarter,district,trans_counts,amount
0,andaman-&-nicobar-islands,2018,1,south andaman,5688,12560249.34366581
1,andaman-&-nicobar-islands,2018,1,nicobars,528,1139848.801225994
2,andaman-&-nicobar-islands,2018,1,north and middle andaman,442,931663.0770939873
3,andaman-&-nicobar-islands,2018,2,south andaman,9395,23948235.51634325
4,andaman-&-nicobar-islands,2018,2,nicobars,1120,3072436.9081196385
5,andaman-&-nicobar-islands,2018,2,north and middle andaman,825,1317863.0834906558
6,andaman-&-nicobar-islands,2018,3,south andaman,13511,44268112.464252464
7,andaman-&-nicobar-islands,2018,3,nicobars,1471,6387829.151558982
8,andaman-&-nicobar-islands,2018,3,north and middle andaman,1283,4901529.518499676
9,andaman-&-nicobar-islands,2018,4,south andaman,20136,75411840.8018554
10,andaman-&-nicobar-islands,2018,4,north and middle andaman,2137,7955635.917688001
11,andaman-&-nicobar-islands,2018,4,nicobars,1485,7180859.354911782
12,andaman-&-nicobar-islands,2019,1,south andaman,25683,85501972.38780196
13,andaman-&-nicobar-islands,2019,1,north and middle andaman,3264,9561708.736298349
14,andaman-&-nicobar-islands,2019,1,nicobars,1539,7236059.549389593
15,andaman-&-nicobar-islands,2019,2,south andaman,28490,102530955.71341251
16,andaman-&-nicobar-islands,2019,2,north and middle andaman,3371,8612103.13788812
17,andaman-&-nicobar-islands,2019,2,nicobars,1828,9111650.82436246
18,andaman-&-nicobar-islands,2019,3,south andaman,27421,91023888.32848613
19,andaman-&-nicobar-islands,2019,3,north and middle andaman,4049,11481466.28335679
20,andaman-&-nicobar-islands,2019,3,nicobars,2300,11566421.47545101
21,andaman-&-nicobar-islands,2019,4,south andaman,27843,110930312.2061162
22,andaman-&-nicobar-islands,2019,4,north and middle andaman,4716,13524056.784573939
23,andaman-&-nicobar-islands,2019,4,nicobars,2600,12384161.52668771
24,andaman-&-nicobar-islands,2020,1,south andaman,32713,134679396.90582752
25,andaman-&-nicobar-islands,2020,1,north and middle andaman,5674,14697371.6178571
26,andaman-&-nicobar-islands,2020,1,nicobars,2911,12099543.77359005
27,andaman-&-nicobar-islands,2020,2,south andaman,48088,132855778.74838582
28,andaman-&-nicobar-islands,2020,2,north and middle andaman,10979,22447714.061058953
29,andaman-&-nicobar-islands,2020,2,nicobars,3895,14341508.60470232
30,andaman-&-nicobar-islands,2020,3,south andaman,95323,282366109.2052393
31,andaman-&-nicobar-islands,2020,3,north and middle andaman,16747,33486883.370425563
32,andaman-&-nicobar-islands,2020,3,nicobars,5413,22166453.75469538
33,andaman-&-nicobar-islands,2020,4,south andaman,186494,523122462.88302904
34,andaman-&-nicobar-islands,2020,4,north and middle andaman,29349,68941322.38839513
35,andaman-&-nicobar-islands,2020,4,nicobars,8688,35218871.04342848
36,andaman-&-nicobar-islands,2021,1,south andaman,207092,669604045.1248703
37,andaman-&-nicobar-islands,2021,1,north and middle andaman,27358,75027255.27919498
38,andaman-&-nicobar-islands,2021,1,nicobars,10302,39075266.9856904
39,andaman-&-nicobar-islands,2021,2,south andaman,286907,760893020.5704948
40,andaman-&-nicobar-islands,2021,2,north and middle andaman,39200,90233388.79463303
41,andaman-&-nicobar-islands,2021,2,nicobars,15307,48020606.74716838
42,andaman-&-nicobar-islands,2021,3,south andaman,382418,1116789010.645961
43,andaman-&-nicobar-islands,2021,3,north and middle andaman,46592,118254865.8275068
44,andaman-&-nicobar-islands,2021,3,nicobars,20754,74980519.32813609
45,andaman-&-nicobar-islands,2021,4,south andaman,558571,1694794708.0093331
46,andaman-&-nicobar-islands,2021,4,north and middle andaman,53115,156486112.2873243
47,andaman-&-nicobar-islands,2021,4,nicobars,24437,81329281.02699961
48,andaman-&-nicobar-islands,2022,1,south andaman,705512,1872991195.9026842
49,andaman-&-nicobar-islands,2022,1,north and middle andaman,60059,161624878.52274162
50,andaman-&-nicobar-islands,2022,1,nicobars,29177,94414127.64974089
51,andaman-&-nicobar-islands,2022,2,south andaman,954875,2357326563.362071
52,andaman-&-nicobar-islands,2022,2,north and middle andaman,72573,195693167.78757262
53,andaman-&-nicobar-islands,2022,2,nicobars,43769,132900618.93062322
54,andaman-&-nicobar-islands,2022,3,south andaman,1455255,2967719400.849909
55,andaman-&-nicobar-islands,2022,3,north and middle andaman,79574,211581970.34202647
56,andaman-&-nicobar-islands,2022,3,nicobars,49550,131330400.94545081
57,andaman-&-nicobar-islands,2022,4,south andaman,1835592,3600887266.099448
58,andaman-&-nicobar-islands,2022,4,north and middle andaman,93297,241431284.3558103
59,andaman-&-nicobar-islands,2022,4,nicobars,58646,142355853.9735252
60,andhra-pradesh,2018,1,visakhapatnam,1256469,1749966196.5049942
61,andhra-pradesh,2018,1,east godavari,943935,1235785515.599726
62,andhra-pradesh,2018,1,krishna,863935,1284255179.6156201
63,andhra-pradesh,2018,1,chittoor,830324,1009621878.0870509
64,andhra-pradesh,2018,1,guntur,815932,1108686589.026682
65,andhra-pradesh,2018,1,kurnool,679623,764905298.7350456
66,andhra-pradesh,2018,1,anantapur,638664,788830646.0324218
67,andhra-pradesh,2018,1,west godavari,577090,853547668.7532667
68,andhra-pradesh,2018,1,prakasam,534757,748990775.8676486
69,andhra-pradesh,2018,1,spsr nellore,531612,676643237.8069417
70,andhra-pradesh,2018,2,visakhapatnam,1641192,2987853607.2939086
71,andhra-pradesh,2018,2,krishna,1224987,2448141593.4919834
72,andhra-pradesh,2018,2,east godavari,1221677,2168914928.423901
73,andhra-pradesh,2018,2,chittoor,1185723,1990419125.893711
74,andhra-pradesh,2018,2,guntur,1088101,2108475811.785997
75,andhra-pradesh,2018,2,kurnool,968439,1531888665.684323
76,andhra-pradesh,2018,2,anantapur,937023,1690366079.055792
77,andhra-pradesh,2018,2,west godavari,786033,1688025212.304594
78,andhra-pradesh,2018,2,spsr nellore,780454,1542057934.010896
79,andhra-pradesh,2018,2,prakasam,739991,1571167562.1276271
80,andhra-pradesh,2018,3,visakhapatnam,3394576,4821892253.393524
81,andhra-pradesh,2018,3,east godavari,3226907,3551247095.307446
82,andhra-pradesh,2018,3,kurnool,2921189,2908389261.539773
83,andhra-pradesh,2018,3,krishna,2396934,3754202654.384461
84,andhra-pradesh,2018,3,chittoor,2297429,3283517630.720593
85,andhra-pradesh,2018,3,guntur,1912529,3127764663.180438
86,andhra-pradesh,2018,3,anantapur,1815215,2681787750.4641647
87,andhra-pradesh,2018,3,ysr,1557444,2235904512.2542043
88,andhra-pradesh,2018,3,west godavari,1431282,2309078492.805815
89,andhra-pradesh,2018,3,prakasam,1319651,2346453445.4838424
90,andhra-pradesh,2018,4,visakhapatnam,4791421,7366635864.849373
91,andhra-pradesh,2018,4,chittoor,3166201,4979093890.223491
92,andhra-pradesh,2018,4,east godavari,3052762,4652624623.436675
93,andhra-pradesh,2018,4,krishna,2839161,5416251838.130406
94,andhra-pradesh,2018,4,guntur,2546620,4730251217.6969595
95,andhra-pradesh,2018,4,kurnool,2508530,3626544852.4069242
96,andhra-pradesh,2018,4,anantapur,2286391,3975878156.3298287
97,andhra-pradesh,2018,4,spsr nellore,1814997,3293448556.973445
98,andhra-pradesh,2018,4,ysr,1732527,3252340063.247859
99,andhra-pradesh,2018,4,prakasam,1692862,3255254226.03728
100,andhra-pradesh,2019,1,visakhapatnam,9690866,13459857440.552681
101,andhra-pradesh,2019,1,chittoor,6486813,8223371732.233584
102,andhra-pradesh,2019,1,krishna,5443981,9061346433.07268
103,andhra-pradesh,2019,1,east godavari,5440146,7382264724.59952
104,andhra-pradesh,2019,1,guntur,4846553,7765934169.404485
105,andhra-pradesh,2019,1,kurnool,4193432,5541564892.509683
106,andhra-pradesh,2019,1,anantapur,3891336,6044730653.191345
107,andhra-pradesh,2019,1,spsr nellore,3333584,5161932216.216368
108,andhra-pradesh,2019,1,prakasam,2931081,4807527779.215152
109,andhra-pradesh,2019,1,ysr,2852197,4915811593.896078
110,andhra-pradesh,2019,2,visakhapatnam,11705738,20797479804.02907
111,andhra-pradesh,2019,2,krishna,6428472,13437029115.62075
112,andhra-pradesh,2019,2,chittoor,5983308,10982727976.22432
113,andhra-pradesh,2019,2,guntur,5005275,10405246943.48149
114,andhra-pradesh,2019,2,east godavari,4699261,9116404622.476511
115,andhra-pradesh,2019,2,kurnool,3895824,7358285187.018034
116,andhra-pradesh,2019,2,anantapur,3578836,7830782361.377665
117,andhra-pradesh,2019,2,spsr nellore,3141891,6880873007.482059
118,andhra-pradesh,2019,2,prakasam,2670529,6262396448.455348
119,andhra-pradesh,2019,2,ysr,2606284,6376856828.130631
120,andhra-pradesh,2019,3,visakhapatnam,16694947,26944837120.04628
121,andhra-pradesh,2019,3,krishna,8408474,16404073560.50078
122,andhra-pradesh,2019,3,chittoor,8201783,13837455758.755262
123,andhra-pradesh,2019,3,guntur,6942304,13075661264.18803
124,andhra-pradesh,2019,3,east godavari,6537303,11387726470.57774
125,andhra-pradesh,2019,3,kurnool,5139134,9025632779.412457
126,andhra-pradesh,2019,3,anantapur,4889720,9554081289.488277
127,andhra-pradesh,2019,3,spsr nellore,4150195,8256600118.735449
128,andhra-pradesh,2019,3,prakasam,3430750,7354502261.15091
129,andhra-pradesh,2019,3,ysr,3296586,7447544274.211781
130,andhra-pradesh,2019,4,visakhapatnam,23594874,39133296330.044624
131,andhra-pradesh,2019,4,krishna,11719402,23039786404.04663
132,andhra-pradesh,2019,4,chittoor,11246986,19298476027.87548
133,andhra-pradesh,2019,4,guntur,9761330,18565626418.03591
134,andhra-pradesh,2019,4,east godavari,9285739,16816774065.30131
135,andhra-pradesh,2019,4,kurnool,7001958,13233105728.54823
136,andhra-pradesh,2019,4,anantapur,6764112,13887248889.06406
137,andhra-pradesh,2019,4,spsr nellore,5877804,11786014089.19402
138,andhra-pradesh,2019,4,prakasam,4865473,10604077824.801031
139,andhra-pradesh,2019,4,ysr,4793157,10865073855.73078
140,andhra-pradesh,2020,1,visakhapatnam,27115031,48809747614.67889
141,andhra-pradesh,2020,1,chittoor,13257740,23441848567.34419
142,andhra-pradesh,2020,1,krishna,12175289,24481702770.71471
143,andhra-pradesh,2020,1,guntur,11493331,22992734620.64621
144,andhra-pradesh,2020,1,east godavari,11346242,21854701379.428677
145,andhra-pradesh,2020,1,anantapur,8466129,17864325752.82528
146,andhra-pradesh,2020,1,kurnool,8246869,17022710311.81304
147,andhra-pradesh,2020,1,spsr nellore,7430247,15387829694.446861
148,andhra-pradesh,2020,1,prakasam,6318396,14169104764.52673
149,andhra-pradesh,2020,1,ysr,6031255,14059924636.81991
150,andhra-pradesh,2020,2,visakhapatnam,25300401,48293889917.414375
151,andhra-pradesh,2020,2,chittoor,14848197,27361300300.01902
152,andhra-pradesh,2020,2,east godavari,13130334,26319906327.32029
153,andhra-pradesh,2020,2,krishna,12313709,26964149095.36629
154,andhra-pradesh,2020,2,guntur,12308707,27463593607.83911
155,andhra-pradesh,2020,2,anantapur,10473739,22094006659.412502
156,andhra-pradesh,2020,2,kurnool,9821381,22419372061.805172
157,andhra-pradesh,2020,2,spsr nellore,9454274,20665376460.772232
158,andhra-pradesh,2020,2,prakasam,8844580,19846026726.90433
159,andhra-pradesh,2020,2,ysr,8033609,19597207268.13202
160,andhra-pradesh,2020,3,visakhapatnam,34421299,67628440368.111465
161,andhra-pradesh,2020,3,chittoor,20501863,42811566246.16463
162,andhra-pradesh,2020,3,krishna,19110457,44788458672.084435
163,andhra-pradesh,2020,3,east godavari,17972431,39300043804.758514
164,andhra-pradesh,2020,3,guntur,17601395,42531195809.75448
165,andhra-pradesh,2020,3,spsr nellore,16468209,39128324534.03021
166,andhra-pradesh,2020,3,anantapur,14447683,34102037972.657852
167,andhra-pradesh,2020,3,kurnool,13243292,32529351107.17173
168,andhra-pradesh,2020,3,prakasam,12266310,31221704852.44969
169,andhra-pradesh,2020,3,ysr,11934653,32037007334.12973
170,andhra-pradesh,2020,4,visakhapatnam,46551467,91879823025.40399
171,andhra-pradesh,2020,4,chittoor,29590411,61505711149.79541
172,andhra-pradesh,2020,4,krishna,27981050,64461504667.607216
173,andhra-pradesh,2020,4,guntur,26136538,60641872021.254326
174,andhra-pradesh,2020,4,east godavari,25989490,58732615663.118416
175,andhra-pradesh,2020,4,anantapur,20996384,49732610814.26222
176,andhra-pradesh,2020,4,spsr nellore,20934374,49115443663.37911
177,andhra-pradesh,2020,4,kurnool,18737323,44718203115.22612
178,andhra-pradesh,2020,4,prakasam,16176867,41852443493.51539
179,andhra-pradesh,2020,4,ysr,15676878,42572974713.44025
180,andhra-pradesh,2021,1,visakhapatnam,48248923,95308386037.84721
181,andhra-pradesh,2021,1,krishna,29717175,69715406644.53484
182,andhra-pradesh,2021,1,chittoor,29342609,60947491846.66088
183,andhra-pradesh,2021,1,guntur,27445045,64207987853.1084
184,andhra-pradesh,2021,1,east godavari,26190701,60027984987.969505
185,andhra-pradesh,2021,1,spsr nellore,22541428,52210333201.53073
186,andhra-pradesh,2021,1,anantapur,20102957,48353870395.01808
187,andhra-pradesh,2021,1,kurnool,17918524,44941629659.56964
188,andhra-pradesh,2021,1,west godavari,16015685,42124030669.36127
189,andhra-pradesh,2021,1,ysr,15374473,42570919448.50447
190,andhra-pradesh,2021,2,visakhapatnam,54390299,114439012713.3533
191,andhra-pradesh,2021,2,krishna,36370960,90021923049.96454
192,andhra-pradesh,2021,2,chittoor,34344902,73654690122.43158
193,andhra-pradesh,2021,2,guntur,32968819,82356914463.83287
194,andhra-pradesh,2021,2,east godavari,31717908,74604325863.66068
195,andhra-pradesh,2021,2,spsr nellore,30290406,72283071757.09679
196,andhra-pradesh,2021,2,anantapur,25123346,60987487571.27992
